school,region,rank,n_majors,majors,tuition_min,tuition_max,guide_status,guide_url,lang_req
국립창원대학교,경상남도,,17,"유아교육학과, 미생물학과, 메카트로닉스공학부, 화공시스템공학과, 정보통신공학과, 조선해양공학과 외 11개",2095300,2743100,2026_or_older,https://app.changwon.ac.kr/board/detail.do?midx=8&bno=2932&cateno=&postno=1349442&pageIndex=1,한국어트랙 TOPIK 3~4 / 영어트랙 IELTS 5.5~6.5 (학과별 상이)
극동대학교,충청북도,,35,"학과(세부전공, 경영학과, 항공운항서비스학과, 항공경영학과, 항공융합안전학과, 외식경영학과 외 29개",,,not_found,,한국어트랙 TOPIK 3~4 / 영어트랙 IELTS 5.5~6.5 (학과별 상이)
남부대학교,광주광역시,,30,"자동차기계공학과, AI전기공학과, AI경영학과, 식품영양학과, 경찰행정학과, 향장미용학과 외 24개",2829000,4068000,2026_or_older,https://global.nambu.ac.kr/board/GLOBAL_BOARD_0006/boardList.do?menuCd=dept_globa002003002,한국어트랙 TOPIK 3~4 / 영어트랙 IELTS 5.5~6.5 (학과별 상이)
대구가톨릭대학교,경상북도,,60,"언어청각치료학과(언어치료학전공, 언어치료전공, 표현예술치료학과, 국어국문학과, 국어국문학전공, 한국어교육전공 외 54개",4451000,8449000,2026_or_older,https://graduate.cu.ac.kr/sub03/sub02.htm,한국어트랙 TOPIK 3~4 / 영어트랙 IELTS 5.5~6.5 (학과별 상이)
대구대학교,경상북도,,57,"한국어교육학과, 문화예술학과, 영어영문학과, 행정학과, 도시학과, 부동산학과 외 51개",4067000,6525000,2026_or_older,https://grad.daegu.ac.kr/,한국어트랙 TOPIK 3~4 / 영어트랙 IELTS 5.5~6.5 (학과별 상이)
대구한의대학교,경상북도,,60,"간호학과, 뷰티케어학과, 제약공학과, 푸드케어약선학과, 건축·소방방재환경학과, 산림조경학과 외 54개",4500000,7300000,2026_or_older,http://www.dhu.ac.kr/HOME/graduate/,한국어트랙 TOPIK 3~4 / 영어트랙 IELTS 5.5~6.5 (학과별 상이)
대전대학교,대전광역시,,56,"국어국문학과, 교육학과, 상담심리전공, 생물학과, 미생물학과, 생명보건과학과 외 50개",,,2026_or_older,https://www.dju.ac.kr/gdhl/main.do,한국어트랙 TOPIK 3~4 / 영어트랙 IELTS 5.5~6.5 (학과별 상이)
동덕여자대학교,서울특별시,,44,"국어국문학과, 영어영문TESOL학과, 일본어문학과, 프랑스어문학과, 독일학과, 중국학과 외 38개",,,2026_or_older,https://grad.dongduk.ac.kr/,한국어트랙 TOPIK 3~4 / 영어트랙 IELTS 5.5~6.5 (학과별 상이)
동명대학교,부산광역시,,23,"컴퓨터미디어공학과, 전기전자정보통신공학과, 기계시스템공학과, 조선해양공학과, 항만물류시스템학과, 건축학과 외 17개",2852000,3855000,2026_or_older,https://www.tu.ac.kr/gs/sub02_02.do,한국어트랙 TOPIK 3~4 / 영어트랙 IELTS 5.5~6.5 (학과별 상이)
동서대학교,부산광역시,,59,"디자인학부, 시각디자인전공, 디지털미디어디자인전공, 제품인터랙션디자인전공, 환경디자인전공, 패션디자인학과 외 53개",3247000,5915000,2026_or_older,https://uni.dongseo.ac.kr/iec/index.php?pCode=admission,한국어트랙 TOPIK 3~4 / 영어트랙 IELTS 5.5~6.5 (학과별 상이)
